Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2017,62324263,383083855,8117941,133718989,458213,127490624,2948058,63753521,1731842,46785645,313788748,21894972,172923911
2018,73788826,383597446,5480283,138816787,2327694,82975192,103553,13781367,1729008,39227988,325772793,25730569,178019159
2019,73702743,399725100,9064740,156217381,271295,82913643,1846995,8532583,2254447,49649624,337394316,5382491,205565153
2020,84862428,400053858,5411216,155140765,3028968,84729711,2779572,7369886,1717586,39937971,355876336,7981428,209470293
2021,91807511,402011659,5581998,160672273,2812140,92245023,352792,10069773,1825404,37300366,368829782,12003599,212556666
2022,113797347,412055763,5404752,170399867,11527312,103630155,723463,7750680,3087504,39860929,382152448,4653380,229437414
2023,128116535,416269597,12571283,177610007,6184905,124795838,894411,15570971,1733621,35741596,403760747,6845490,230465793
2024,116409893,438159575,8393294,166292096,6111324,119991780,745364,18795426,1447788,68036371,402815191,9211136,235030153
2025,164710970,463448366,6402368,236168106,7233469,146685086,5309476,16832525,5181255,76532641,427621805,11896291,233813196
