Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2017,82978744,216202522,11698315,104320147,240172,73708581,1624910,1077975,1888355,61524331,282371796,2703821,82208288
2018,87642638,210977544,7232151,110272724,4413094,76351966,1966684,290611,1770980,65515821,283108604,2087694,83878800
2019,96794304,207186338,14976143,130915838,859645,77026479,1504425,745855,1711724,66928718,285588580,3350533,85000603
2020,98678592,204374868,7067445,112347304,8886188,75560034,3270198,466764,1135394,67415436,291667320,725437,88998227
2021,107308825,203113332,7390844,112771758,8510995,76770425,1889171,404716,1724654,73483861,292372994,1723356,89462886
2022,117908317,203537902,9161906,97951258,15225025,93174817,1516275,369783,1476018,75617497,296667523,2810875,92811137
2023,127431061,201600587,22508639,123774633,4203225,92237181,2361002,626434,1432656,68620459,309869439,2604081,95471435
2024,131777546,211546427,16241583,122449253,3833827,98400828,2013386,3522916,1384263,76569536,313310133,6626610,99250993
2025,126104358,223293489,11769122,117108823,4881018,98126749,1390430,1392009,1356034,75496804,322245695,17136598,103709149
