Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2018,189191058,583849450,6458070,166839181,2797835,121037863,459006,3412608,3047221,337676358,223840999,21917261,158339268
2019,196184334,591161266,11120609,166249674,1102132,123809656,866518,2333818,2750037,307720148,272238703,21177772,160452642
2020,194510011,596915290,6469443,139269265,3791302,126217561,1807473,2737407,2171359,321918677,276048341,21346908,161981833
2021,215728173,606139798,5836152,131165100,3873338,134762922,894423,9214467,2076809,331600927,283743843,21588859,166276155
2022,260951791,605863417,5541994,123314054,9238962,149795421,8736294,4029558,1979546,339360501,287734887,22448269,167062873
2023,307308380,614790357,14309917,149145099,2285253,159354711,825770,4447066,2071867,347460257,297782330,26967375,168907324
2024,333028451,628741824,9298744,139104879,2301473,161834532,375784,6624538,1867737,363476414,308353376,26347919,172109612
2025,382096448,635450220,7001245,143390882,3731426,170358437,250232,11218655,1564205,367726561,314699137,31312752,176967962
